longitude,latitude,time (YYYYMMDDHHMMSS),altitude (km),xco2 (ppm)
63.699920654296875,42.522731781005859,20130515091813,530.8175048828125,396.956
62.782749176025391,40.069644927978516,20130515091817,177.26432800292969,395.917
62.777935028076172,40.064098358154297,20130515091822,177.47372436523438,395.653
62.776100158691406,40.059192657470703,20130515091827,177.57701110839844,397.304
58.984798431396484,38.261112213134766,20130515091913,104.18798828125,399.798
58.981639862060547,38.258518218994141,20130515091922,104.10256958007812,401.033
61.896862030029297,37.565677642822266,20130515091936,223.07150268554688,401.985
61.087116241455078,35.094482421875,20130515091940,700.33447265625,401.762
61.0831298828125,35.090244293212891,20130515091945,700.60662841796875,400.098
61.081241607666016,35.084712982177734,20130515091950,699.79559326171875,401.55
58.251487731933594,35.762538909912109,20130515091954,1367.543701171875,401.396
58.252155303955078,35.764717102050781,20130515091959,1359.7779541015625,401.675
58.233634948730469,35.817573547363281,20130515092003,1227.46337890625,396.634
57.555698394775391,33.252235412597656,20130515092036,1315.623291015625,397.645
57.554332733154297,33.249713897705078,20130515092040,1322.3580322265625,397.016
57.552936553955078,33.25128173828125,20130515092045,1323.550048828125,399.631
60.300277709960938,32.593475341796875,20130515092050,1475.263916015625,398.331
60.299270629882812,32.589775085449219,20130515092054,1488.055419921875,398.597
60.2979736328125,32.584499359130859,20130515092059,1504.2000732421875,399.604
59.568805694580078,30.099330902099609,20130515092103,864.59130859375,404.637
59.565143585205078,30.095399856567383,20130515092108,862.0145263671875,403.285
59.563873291015625,30.091360092163086,20130515092113,859.53118896484375,404.772
56.8853759765625,30.746803283691406,20130515092117,2540.7021484375,401.616
54.136928558349609,31.151584625244141,20130515092136,2198.94189453125,399.003
53.567291259765625,28.620454788208008,20130515092145,1020.0817260742188,396.338
53.564529418945312,28.621370315551758,20130515092149,1019.8687133789062,398.075
53.562595367431641,28.624900817871094,20130515092154,1020.5952758789062,398.747
56.243896484375,28.231561660766602,20130515092159,1003.4298706054688,397.805
56.241058349609375,28.230230331420898,20130515092208,997.78045654296875,397.726
57.525463104248047,22.577207565307617,20130515092335,342.62661743164062,405.879
57.524585723876953,22.574522018432617,20130515092340,342.030029296875,405.828
57.523590087890625,22.571186065673828,20130515092345,341.16323852539062,403.794
56.901660919189453,20.061731338500977,20130515092349,152.51661682128906,399.384
56.898654937744141,20.058361053466797,20130515092354,152.64987182617188,400.419
56.897823333740234,20.055688858032227,20130515092359,152.76708984375,401.043
53.856868743896484,18.159650802612305,20130515092445,305.36538696289062,403.143
53.855831146240234,18.157918930053711,20130515092449,305.63754272460938,402.919
53.854373931884766,18.159618377685547,20130515092454,305.44198608398438,402.597
50.843753814697266,16.031999588012695,20130515092540,762.1197509765625,400.089
50.821640014648438,16.101154327392578,20130515092549,673.90435791015625,396.711
49.802925109863281,11.021749496459961,20130515092703,1522.2603759765625,396.619
49.803302764892578,11.025459289550781,20130515092708,1522.720703125,396.591
48.75067138671875,5.9332342147827148,20130515092826,87.620346069335938,397.78
48.750919342041016,5.9370851516723633,20130515092831,87.703125,398.092
45.705490112304688,-19.71351432800293,20130515093507,450.1343994140625,392.071
45.706890106201172,-19.707321166992188,20130515093512,454.33746337890625,391.99
45.706077575683594,-19.702548980712891,20130515093516,461.0894775390625,392.258
44.528282165527344,-24.748617172241211,20130515093630,228.4927978515625,393.927
44.530109405517578,-24.741550445556641,20130515093635,232.74368286132812,393.701
44.529457092285156,-24.736309051513672,20130515093639,236.400390625,394.129
52.992942810058594,64.265251159667969,20130515104938,135.95829772949219,398.144
52.986213684082031,64.25823974609375,20130515104943,134.4334716796875,397.968
47.866203308105469,65.313873291015625,20130515104947,117.41407012939453,397.244
47.868873596191406,65.3143310546875,20130515104952,117.60627746582031,400.316
47.866397857666016,65.313186645507812,20130515104957,117.29713439941406,398.117
37.838180541992188,48.222011566162109,20130515105438,157.05813598632812,396.674
37.835891723632812,48.217418670654297,20130515105442,159.27986145019531,396.296
41.239151000976562,47.460391998291016,20130515105452,51.811527252197266,396.096
41.237564086914062,47.455249786376953,20130515105456,54.204887390136719,396.787
41.235763549804688,47.448459625244141,20130515105501,57.100593566894531,396.72
35.755054473876953,32.59222412109375,20130515105900,353.90740966796875,398.557
35.754112243652344,32.588840484619141,20130515105905,357.11196899414062,398.969
35.753009796142578,32.584205627441406,20130515105910,364.02243041992188,399.582
35.023532867431641,30.098243713378906,20130515105914,363.33242797851562,397.755
35.019916534423828,30.094295501708984,20130515105919,368.27157592773438,395.506
35.018520355224609,30.089975357055664,20130515105924,373.21572875976562,398.409
29.022111892700195,28.619810104370117,20130515105956,211.02731323242188,395.561
29.019416809082031,28.620952606201172,20130515110000,210.73141479492188,397.037
29.01746940612793,28.624425888061523,20130515110005,209.88273620605469,395.857
33.638816833496094,25.085996627807617,20130515110037,328.68679809570312,397.746
33.635616302490234,25.082918167114258,20130515110042,325.4150390625,398.718
33.634426116943359,25.078865051269531,20130515110047,322.76266479492188,399.146
31.07505989074707,25.719860076904297,20130515110051,405.46319580078125,399.013
31.075769424438477,25.723260879516602,20130515110056,404.92095947265625,401.137
31.074254989624023,25.724143981933594,20130515110100,404.38180541992188,399.544
28.454570770263672,26.115896224975586,20130515110105,358.14306640625,398.727
28.455070495605469,26.118312835693359,20130515110110,355.96392822265625,400.109
28.454168319702148,26.125530242919922,20130515110114,350.35791015625,399.169
27.909553527832031,23.582612991333008,20130515110119,369.917724609375,398.913
27.907001495361328,23.583730697631836,20130515110123,370.3109130859375,398.193
27.9052734375,23.587522506713867,20130515110128,370.881103515625,397.815
30.473142623901367,23.198440551757812,20130515110133,182.82162475585938,397.739
30.472057342529297,23.196706771850586,20130515110137,182.52618408203125,398.28
30.470733642578125,23.198783874511719,20130515110142,182.49510192871094,399.024
32.980209350585938,22.576587677001953,20130515110146,335.76263427734375,401.33
32.9793701171875,22.574230194091797,20130515110151,335.79306030273438,399.459
32.978294372558594,22.570587158203125,20130515110156,335.80825805664062,401.908
32.356269836425781,20.06096076965332,20130515110200,402.82781982421875,398.783
32.353343963623047,20.058019638061523,20130515110205,402.89193725585938,399.038
32.352500915527344,20.055215835571289,20130515110209,402.75048828125,399.162
29.883914947509766,20.683389663696289,20130515110214,327.98785400390625,398.66
29.884626388549805,20.68718147277832,20130515110219,325.0162353515625,399.284
29.883214950561523,20.68861198425293,20130515110223,323.7469482421875,398.671
27.362249374389648,21.076387405395508,20130515110228,425.62319946289062,399.317
27.362720489501953,21.079433441162109,20130515110233,425.42373657226562,398.783
27.361732482910156,21.086664199829102,20130515110237,425.29867553710938,397.608
26.832939147949219,18.539556503295898,20130515110242,575.7042236328125,398.443
26.830661773681641,18.541349411010742,20130515110246,575.85284423828125,397.91
26.82904052734375,18.545177459716797,20130515110251,576.490478515625,398.212
29.311506271362305,18.159393310546875,20130515110256,351.43154907226562,398.907
29.310401916503906,18.156999588012695,20130515110300,351.63217163085938,398.871
29.309089660644531,18.159355163574219,20130515110305,350.900634765625,399.558
31.71784782409668,17.600038528442383,20130515110309,306.13995361328125,404.61
31.739801406860352,17.548603057861328,20130515110314,319.00747680664062,405.341
31.738725662231445,17.545785903930664,20130515110319,319.3411865234375,405.154
24.449844360351562,-4.5714726448059082,20130515110909,584.73468017578125,391.377
24.450803756713867,-4.5657491683959961,20130515110914,583.814208984375,390.692
24.449884414672852,-4.5614433288574219,20130515110918,584.0880126953125,392.615
23.378734588623047,-9.624237060546875,20130515111032,953.85333251953125,392.514
23.380046844482422,-9.6175317764282227,20130515111037,956.88421630859375,392.36
23.379173278808594,-9.6129541397094727,20130515111041,959.60101318359375,392.854
20.423242568969727,-11.750211715698242,20130515111100,1241.7672119140625,391.597
20.421979904174805,-11.748173713684082,20130515111104,1242.0799560546875,392.1
20.421110153198242,-11.74405574798584,20130515111109,1242.618896484375,392.38
22.837982177734375,-12.150661468505859,20130515111113,1089.572265625,392.87
22.83723258972168,-12.151147842407227,20130515111118,1089.421630859375,395.523
22.836259841918945,-12.146821975708008,20130515111123,1089.434814453125,392.967
25.227947235107422,-12.720293998718262,20130515111127,1161.775146484375,394.424
25.227663040161133,-12.717471122741699,20130515111132,1162.4505615234375,395.949
25.226726531982422,-12.716522216796875,20130515111136,1162.545654296875,394.253
24.705287933349609,-15.274618148803711,20130515111141,1141.878662109375,393.686
24.704242706298828,-15.27281379699707,20130515111146,1141.5902099609375,393.946
24.705020904541016,-15.271200180053711,20130515111150,1141.5054931640625,392.393
22.286300659179688,-14.672320365905762,20130515111155,1041.936767578125,393.508
22.287704467773438,-14.66565990447998,20130515111200,1041.74951171875,393.382
22.286903381347656,-14.660671234130859,20130515111204,1041.6544189453125,393.796
19.844730377197266,-14.251232147216797,20130515111209,1224.8160400390625,395.074
19.845058441162109,-14.247664451599121,20130515111213,1226.365478515625,394.572
19.84351921081543,-14.240127563476562,20130515111218,1228.25,394.407
19.255989074707031,-16.786396026611328,20130515111223,1140.4498291015625,392.734
19.25494384765625,-16.78407096862793,20130515111227,1140.811767578125,393.338
19.254190444946289,-16.780193328857422,20130515111232,1141.57763671875,392.65
21.729667663574219,-17.197662353515625,20130515111236,1039.8988037109375,394.217
21.729284286499023,-17.196977615356445,20130515111241,1039.8616943359375,393.961
21.728488922119141,-17.192012786865234,20130515111246,1039.437744140625,393.655
24.182487487792969,-17.765277862548828,20130515111250,939.2156982421875,393.346
24.182275772094727,-17.761631011962891,20130515111255,939.415283203125,392.555
24.181339263916016,-17.760282516479492,20130515111259,939.51287841796875,392.857
23.650798797607422,-20.320409774780273,20130515111304,954.1075439453125,392.686
23.650018692016602,-20.318328857421875,20130515111309,954.05255126953125,392.775
23.651002883911133,-20.315879821777344,20130515111313,953.8135986328125,393.448
21.159246444702148,-19.714191436767578,20130515111318,1112.2716064453125,394.08
21.16071891784668,-19.708002090454102,20130515111322,1112.0804443359375,394.104
21.16004753112793,-19.702547073364258,20130515111327,1112.96044921875,393.798
18.64796257019043,-19.282690048217773,20130515111332,1217.2099609375,391.982
18.648508071899414,-19.278423309326172,20130515111336,1216.325439453125,393.052
18.646932601928711,-19.27092170715332,20130515111341,1214.8917236328125,392.564
18.023611068725586,-21.81324577331543,20130515111346,1649.7288818359375,391.305
18.022636413574219,-21.811317443847656,20130515111350,1649.9410400390625,390.331
18.022268295288086,-21.80674934387207,20130515111355,1650.7156982421875,391.657
20.579788208007812,-22.236278533935547,20130515111359,1215.288818359375,392.583
20.579408645629883,-22.235462188720703,20130515111404,1215.4053955078125,393.367
20.578786849975586,-22.229782104492188,20130515111409,1216.2733154296875,394.371
23.118127822875977,-22.804647445678711,20130515111413,1032.45751953125,394.159
23.11810302734375,-22.800996780395508,20130515111418,1032.1119384765625,393.482
23.117294311523438,-22.79840087890625,20130515111422,1031.97412109375,392.697
22.570955276489258,-25.360567092895508,20130515111427,1019.9244995117188,393.559
22.570537567138672,-25.35711669921875,20130515111432,1020.14501953125,393.529
22.552278518676758,-25.300485610961914,20130515111436,1023.7259521484375,394.381
19.981803894042969,-24.750125885009766,20130515111441,1069.7996826171875,392.637
